ChemkinName	ChemicalFormula	MolecularWeight	Radius	Diffusivity	AbrahamS	AbrahamB	AbrahamE	AbrahamL	AbrahamA	AbrahamV	ChemkinName
SPC(1255)	C7H6O3JJ	138.0	5.491900412687865E-10	1.4096263118855192E-9	1.2920000000000003	0.9730000000000001	0.881	5.096999999999999	0.693	99.04000000000002	SPC(1255)
SPC(21)	C13H27J	183.0	6.663339290589995E-10	1.161808964900284E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	6.260999999999999	0.0030	191.87999999999943	SPC(21)
SPC(1545)	C13H27O2J	215.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.242999999999998	0.348	203.61999999999938	SPC(1545)
SPC(1552)	C13H28O2	216.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.2429999999999986	0.348	205.7699999999994	SPC(1552)
SPC(1152)	C16H26O	234.0	6.948190336594852E-10	1.1141789370976989E-9	0.785	0.4620000000000001	0.7020000000000001	8.377999999999998	0.348	218.40999999999934	SPC(1152)
SPC(19)	C13H27J	183.0	6.663339290589995E-10	1.161808964900284E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	6.260999999999999	0.0030	191.87999999999943	SPC(19)
SPC(1635)	C13H27O2J	215.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.242999999999998	0.348	203.61999999999938	SPC(1635)
SPC(1642)	C13H28O2	216.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.2429999999999986	0.348	205.7699999999994	SPC(1642)
SPC(57)	C19H39J	267.0	7.521603549441157E-10	1.029238947930849E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	9.254999999999999	0.0030	276.4200000000012	SPC(57)
SPC(1722)	C19H39O2J	299.0	7.708786935770398E-10	1.0042471517869347E-9	0.595	0.614	0.20400000000000001	10.237	0.348	288.1600000000015	SPC(1722)
SPC(1727)	C19H40O2	300.0	7.708786935770398E-10	1.0042471517869347E-9	0.595	0.614	0.20400000000000001	10.236999999999998	0.348	290.3100000000014	SPC(1727)
SPC(20)	C13H27J	183.0	6.663339290589995E-10	1.161808964900284E-9	0.12700000000000003	0.08499999999999999	0.04000000000000001	6.260999999999999	0.0030	191.87999999999943	SPC(20)
SPC(1790)	C13H27O2J	215.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.242999999999998	0.348	203.61999999999938	SPC(1790)
SPC(1795)	C13H28O2	216.0	6.899452517982707E-10	1.1220495110013825E-9	0.595	0.614	0.20400000000000001	7.2429999999999986	0.348	205.7699999999994	SPC(1795)
SPC(179)	C16H23J	215.0	6.790759572299266E-10	1.140009043400512E-9	0.602	0.16599999999999998	0.6880000000000001	7.695999999999997	0.0030	206.0899999999994	SPC(179)
SPC(180)	C16H23J	215.0	6.790759572299266E-10	1.140009043400512E-9	0.602	0.16599999999999998	0.6880000000000001	7.695999999999997	0.0030	206.0899999999994	SPC(180)
